,last_season_before_transfer,Age,Starts_abs_change,Starts_log_change,Min_abs_change,Min_log_change,Gls_abs_change,Gls_log_change,Ast_abs_change,Ast_log_change,CrdY_abs_change,CrdY_log_change,CrdR_abs_change,CrdR_log_change,SoT_abs_change,SoT_log_change,G/Sh_abs_change,G/Sh_log_change,passing_Att_abs_change,passing_Att_log_change,passing_Cmp%_abs_change,passing_Cmp%_log_change,TklW_abs_change,TklW_log_change,Blocks_abs_change,Blocks_log_change,Int_abs_change,Int_log_change,Clr_abs_change,Clr_log_change,dribbles_Att_abs_change,dribbles_Att_log_change,Carries_abs_change,Carries_log_change,Rec_abs_change,Rec_log_change,club_score_abs_change,club_score_log_change,mv_abs_change,mv_log_change,Arsenal FC,Brighton & Hove Albion,Chelsea FC,Crystal Palace,Everton FC,Liverpool FC,Manchester City,Manchester United,Newcastle United,Tottenham Hotspur,West Ham United,Wolverhampton Wanderers,attack,defence,goalkeeper,midfield,2019,2020,2021,2022
0,0,33.0,-14.0,-0.575364144903562,-1181.0,-0.5380908402934255,-3.0,-0.47000362924573547,-2.0,-0.33647223662121295,-3.0,-0.35667494393873267,-1.0,-0.6931471805599453,-2.0,-0.25131442828090633,0.0,0.0,-1039.0,-0.6145671825612657,4.799999999999997,0.05805741462661285,-12.0,-0.3794896217049035,-38.0,-1.1349799328389851,-15.0,-0.7282385003712157,-25.0,-0.8397506547518208,-9.0,-0.38776553100876354,-629.0,-0.514885892192634,-733.0,-0.5541172933992939,-1.875,-0.27570588140506547,-3500000.0,-0.7731898882334818,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,34.0,2.0,0.10536051565782634,104.0,0.06087309106964334,-4.0,-1.6094379124341003,-3.0,-0.916290731874155,0.0,0.0,0.0,0.0,-2.0,-0.33647223662121295,-0.06,-0.058268908123975824,-45.0,-0.03745756253490029,-1.7999999999999972,-0.021378486406531394,8.0,0.2682639865946794,20.0,0.7472144018302211,9.0,0.49643688631389127,2.0,0.10008345855698275,0.0,0.0,-132.0,-0.15236783036232815,-50.0,-0.05182506786458596,-2.78125,-0.636576829071551,-1000000.0,-0.4054651081081655,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,0,35.0,-5.0,-0.2876820724517808,-373.0,-0.2380179674294558,0.0,0.0,2.0,0.6931471805599453,-1.0,-0.15415067982725827,0.0,0.0,-1.0,-0.2231435513142097,0.0,0.0,-229.0,-0.21595991594278452,-0.7000000000000028,-0.008438868645864517,-9.0,-0.307484699747961,-14.0,-0.4595323293784399,0.0,0.0,3.0,0.13353139262452274,-11.0,-0.8649974374866045,-195.0,-0.2785798168070164,-169.0,-0.19819150170072053,3.375,0.7323678937132265,-500000.0,-0.2876820724517799,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,1,36.0,-2.0,-0.14310084364067333,-81.0,-0.06012942744252836,0.0,0.0,-1.0,-0.2876820724517808,-2.0,-0.4054651081081644,0.0,0.0,-2.0,-0.6931471805599453,0.0,0.0,-69.0,-0.07540435865840678,-3.5,-0.043296805753324286,3.0,0.11332868530700324,-4.0,-0.1823215567939549,-8.0,-0.4274440148269396,-6.0,-0.28768207245178123,18.0,1.1786549963416464,-64.0,-0.11141947112556316,-86.0,-0.11826953530110362,-4.25625,-1.0636536036471393,-500000.0,-0.4054651081081655,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,1,37.0,-25.0,-1.1856236656577392,-2131.0,-1.1045918501511292,-21.0,-1.83258146374831,-1.0,-0.2876820724517808,-6.0,-0.9162907318741553,0.0,0.0,-42.0,-1.4423838277709344,-0.10999999999999999,-0.1005412292218773,-773.0,-1.1838299432037127,-1.8999999999999915,-0.02335693149810325,-5.0,-0.810930216216329,-13.0,-2.0149030205422647,-1.0,-0.4054651081081645,-26.0,-1.2130226398458537,-27.0,-0.8266785731844681,-526.0,-1.1548520069909856,-800.0,-1.1348856954549449,1.4375,0.5288441292686691,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
5,1,34.0,-24.0,-0.9555114450274362,-2224.0,-0.9890527503686233,-1.0,-0.4054651081081645,-2.0,-0.6931471805599453,-5.0,-0.44183275227903884,-1.0,-0.6931471805599453,-2.0,-0.6931471805599453,0.03,0.0259754864032605,-1387.0,-0.9428281348331122,4.8999999999999915,0.06462366737628766,-32.0,-1.2417131323087829,-30.0,-1.3156767939059373,-49.0,-1.3143208614948012,-59.0,-1.0451236037171232,-17.0,-0.5355182363563622,-752.0,-0.9634375102998574,-839.0,-0.8786794611283719,0.40625,0.15984870094189596,-2600000.0,-1.6739764335716725,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
6,0,32.0,-17.0,-0.4744579795951158,-1601.0,-0.5198984803386635,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6931471805599453,0.0,0.0,0.0,0.0,-931.0,-0.8763468657425113,-3.6000000000000085,-0.047315001152989034,0.0,0.0,0.0,0.0,1.0,0.6931471805599453,-9.0,-0.8266785731844679,-1.0,-0.6931471805599453,-591.0,-0.9511595575249796,-604.0,-1.2145053768258292,-2.5625,-0.8075575317376896,-5500000.0,-0.47692407209031273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
7,0,33.0,20.0,0.5389965007326873,1943.0,0.6029559040435375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,0.5758346667209286,0.29999999999999716,0.004029555486002145,1.0,0.6931471805599453,0.0,0.0,-1.0,-0.6931471805599453,4.0,0.45198512374305744,0.0,0.0,234.0,0.487986131796168,210.0,0.6007738604289301,0.0803571428571428,0.03822121282019775,-2000000.0,-0.2513144282809048,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
8,0,34.0,-4.0,-0.08701137698963013,-390.0,-0.09528687548486836,0.0,0.0,0.0,0.0,2.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,-193.0,-0.17843411844949397,6.300000000000011,0.08107331685473085,1.0,0.4054651081081645,0.0,0.0,1.0,0.6931471805599453,14.0,0.8209805520698299,0.0,0.0,-47.0,-0.08073051291421507,-76.0,-0.17845806196891,0.2321428571428572,0.1028573854397078,-4000000.0,-0.8472978603872026,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9,1,35.0,-12.0,-0.3184537311185345,-1155.0,-0.3510876231787394,0.0,0.0,0.0,0.0,-2.0,-1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,-83.0,-0.08774775404794255,-1.2000000000000028,-0.014944238268276955,-1.0,-0.4054651081081645,0.0,0.0,1.0,0.4054651081081645,-9.0,-0.4462871026284194,0.0,0.0,-6.0,-0.010791471632764171,52.0,0.12546553182840015,-0.5,-0.23638877806423042,-1500000.0,-0.6931471805599454,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
